date,increase_bps,decrease_bps,level_range,level_low,level_high,level_mid,change_bps
2015-12-17,25,0,0.25-0.50,0.25,0.5,0.375,25
2016-12-15,25,0,0.50-0.75,0.5,0.75,0.625,25
2017-03-16,25,0,0.75-1.00,0.75,1.0,0.875,25
2017-06-15,25,0,1.00-1.25,1.0,1.25,1.125,25
2017-12-14,25,0,1.25-1.50,1.25,1.5,1.375,25
2018-03-22,25,0,1.50-1.75,1.5,1.75,1.625,25
2018-06-14,25,0,1.75-2.00,1.75,2.0,1.875,25
2018-09-27,25,0,2.00-2.25,2.0,2.25,2.125,25
2018-12-20,25,0,2.25-2.50,2.25,2.5,2.375,25
2019-08-01,0,25,2.00-2.25,2.0,2.25,2.125,-25
2019-09-19,0,25,1.75-2.00,1.75,2.0,1.875,-25
2019-10-31,0,25,1.50-1.75,1.5,1.75,1.625,-25
2020-03-04,0,50,1.00-1.25,1.0,1.25,1.125,-50
2020-03-16,0,100,0-0.25,0.0,0.25,0.125,-100
2022-03-17,25,0,0.25-0.50,0.25,0.5,0.375,25
2022-05-05,50,0,0.75-1.00,0.75,1.0,0.875,50
2022-06-16,75,0,1.50-1.75,1.5,1.75,1.625,75
2022-07-28,75,0,2.25-2.50,2.25,2.5,2.375,75
2022-09-22,75,0,3.00-3.25,3.0,3.25,3.125,75
2022-11-03,75,0,3.75-4.00,3.75,4.0,3.875,75
2022-12-15,50,0,4.25-4.50,4.25,4.5,4.375,50
2023-02-02,25,0,4.50-4.75,4.5,4.75,4.625,25
2023-03-23,25,0,4.75-5.00,4.75,5.0,4.875,25
2023-05-04,25,0,5.00-5.25,5.0,5.25,5.125,25
2023-07-27,25,0,5.25-5.50,5.25,5.5,5.375,25
2024-09-19,0,50,4.75-5.00,4.75,5.0,4.875,-50
2024-11-08,0,25,4.50-4.75,4.5,4.75,4.625,-25
2024-12-19,0,25,4.25-4.50,4.25,4.5,4.375,-25
2025-09-18,0,25,4.00-4.25,4.0,4.25,4.125,-25
2025-10-30,0,25,3.75-4.00,3.75,4.0,3.875,-25
